url,page_title,section,content_type,question,answer,raw_text,links_on_page
https://www.ntc.net.np/about-us,About Nepal Telecom,Company Overview,faq,What is Nepal Telecom? Give an overview of Nepal Telecom.,"Nepal Telecom (NT), officially Nepal Doorsanchar Company Limited, is the largest telecommunications service provider in Nepal. It is a government-owned public company established in 2004 when the Department of Telecommunications was converted into a corporate entity. Nepal Telecom is listed on the Nepal Stock Exchange (NEPSE) under the ticker symbol 'NTC'. The Government of Nepal holds the majority stake. Its headquarters is in Bhadrakali, Kathmandu. NT provides fixed-line, mobile (GSM/CDMA), internet (ADSL/FTTH), and various value-added services across Nepal.",,
https://www.ntc.net.np/about-us/vision-mission-goal,Vision Mission Goal - Nepal Telecom,Vision Mission Goal,faq,What is the vision and mission of Nepal Telecom?,"Vision: To be a leading and dominant player in the ICT sector of Nepal, providing world-class services to customers throughout the country. Mission: To provide reliable, affordable, and modern telecommunication services to every citizen of Nepal, contributing to the nation's social and economic development. Goals: Expand network coverage to all parts of Nepal including rural areas; provide quality telecom services at competitive prices; adopt modern technology to meet growing demands; ensure customer satisfaction.",,
https://www.ntc.net.np/about-us/board-of-directors,Board of Directors - Nepal Telecom,Board of Directors,table,Who is the chairman of Nepal Telecom? Who are the board of directors of Nepal Telecom?,"Chairman: Mrs. Laxmi Kumari Basnet — Secretary, Ministry of Communication and Information Technology (MoCIT). Member: Mrs. Reena Dangol — Acting Managing Director, Nepal Telecom. Member: Mr. Tanka Prasad Pandey — Joint Secretary, Ministry of Finance. Member: Mr. Subash Chandra Shiwakoti — Joint Secretary, MoCIT. Member: Mrs. Aruna Joshi — Joint Secretary, Ministry of Law, Justice & Parliamentary Affairs. Member: Mr. Lok Bahadur Katuwal — Employee Representative. Member: Mr. Manish Jung Joshi — Public Shareholder Representative. Company Secretary: Mr. Dwarika Prasad Poudel.",,
https://www.ntc.net.np/about-us/management-team,Management Team - Nepal Telecom,Management Team,faq,Who is the Managing Director of Nepal Telecom? Who leads Nepal Telecom management?,"The Acting Managing Director of Nepal Telecom is Mrs. Reena Dangol. Nepal Telecom is managed by a Board of Directors and an executive management team that oversees various departments including Network, IT, Finance, Human Resources, and Customer Service.",,
https://www.ntc.net.np/about-us/milestones,Milestones - Nepal Telecom,Milestones,faq,What are the key milestones and history of Nepal Telecom?,Key milestones of Nepal Telecom: 1913 — First telephone service introduced in Nepal. 1936 — Telecommunication service opened to the public. 1975 — Telephone service expanded outside Kathmandu Valley. 1997 — PSTN digital switching introduced. 2001 — GSM mobile service (Namaste) launched. 2003 — CDMA mobile service (Skyphone) launched. 2004 — Nepal Telecom incorporated as a company (Nepal Doorsanchar Company Limited). 2005 — Listed on Nepal Stock Exchange (NEPSE). 2010 — 3G services launched. 2017 — 4G LTE services launched. 2020 — VoLTE (Voice over LTE) introduced. 2021 — VoWiFi (Voice over WiFi) launched. 2022 — eSIM service launched. 2023 — 5G trials begun.,,
https://www.ntc.net.np/about-us/contact,Contact Us - Nepal Telecom,Contact,faq,What is the customer care number of Nepal Telecom? How to contact Nepal Telecom?,"Nepal Telecom Customer Care: 1498 (toll-free, 24 hours, 7 days a week). For GSM/Mobile queries: 1498. For Internet/FTTH queries: 1498. For PSTN/Fixed Line queries: 1498. Email: info@ntc.net.np. Head Office: Bhadrakali, Kathmandu, Nepal. Website: www.ntc.net.np. Service centres are available in all major cities and districts across Nepal.",,
https://www.ntc.net.np/category/gsm,GSM Services - Nepal Telecom,GSM Namaste,faq,What is the GSM service of Nepal Telecom? What is Namaste prepaid?,"Nepal Telecom's GSM mobile service is branded as Namaste. It offers both prepaid and postpaid SIM cards. Namaste prepaid: no monthly charges, pay as you go, recharge anytime. Namaste postpaid: monthly billing, suitable for heavy users. GSM services include voice calls, SMS, 2G/3G/4G data, VoLTE, VoWiFi, international roaming, and various value-added services (VAS). To get a SIM: visit any NTC office with citizenship certificate or passport and a passport photo.",,
https://www.ntc.net.np/services/4g-lte-network,4G LTE - Nepal Telecom,4G LTE,faq,Does Nepal Telecom provide 4G services? What is NTC 4G LTE? How to activate 4G on NTC?,"Yes, Nepal Telecom provides 4G LTE services. NTC launched 4G in 2017 and has since expanded coverage to most urban areas and many rural districts. Requirements to use 4G: (1) A 4G-capable SIM — existing 2G/3G SIMs can be upgraded free at any NTC office. (2) A 4G-compatible smartphone. (3) Being in a 4G coverage area. APN settings for data: Name=NT-Data, APN=internet. APN settings for MMS: Name=NT-MMS, APN=ntcmms. 4G data packs can be subscribed via NT App, dialling *1415#, SMS to 1415, or online. NTC also supports VoLTE (HD voice calls over 4G) on compatible devices.",,
https://www.ntc.net.np/tariff/gsm-tariff,GSM Tariff - Nepal Telecom,GSM Call Tariff,table,What are the GSM call rates of Nepal Telecom? What is the NTC call tariff?,"Nepal Telecom GSM call tariffs (approximate, check ntc.net.np for latest): On-net calls (NTC to NTC): Rs. 0.50–1.00 per minute. Off-net calls (NTC to Ncell/others): Rs. 1.00–2.00 per minute. NTC to landline (PSTN): Rs. 0.50–1.00 per minute. International calls: vary by country; available via 1424, 1425, 1445, or direct dialling with 00. Special combo packs offer bundled voice + data + SMS at discounted rates. Visit ntc.net.np/tariff for the complete and updated tariff sheet.",,
https://www.ntc.net.np/tariff/gsm-data-tariff,GSM Data Tariff - Nepal Telecom,GSM Data Packs,table,What are the NTC data packages? What are the internet packs for Nepal Telecom GSM?,"Nepal Telecom GSM data packages (sample — check ntc.net.np for latest rates): Daily packs: 50 MB – Rs. 10 (1 day), 150 MB – Rs. 19 (1 day). Weekly packs: 1 GB – Rs. 99 (7 days), 3 GB – Rs. 199 (7 days). Monthly packs: 3 GB – Rs. 299 (30 days), 5 GB – Rs. 399 (30 days), 10 GB – Rs. 649 (30 days), 20 GB – Rs. 999 (30 days), 50 GB – Rs. 1899 (30 days). Combo packs: include voice minutes + data + SMS bundles. Subscribe via NT App, dial *1415#, SMS 'DATA' to 1415, or at ntc.net.np.",,
