Question,Answer
"नेपाल टेलिकमले उपलब्ध गराएको 4G सेवा प्रयोग गर्न के के आवश्यक पर्दछ?","नेपाल टेलिकमको 4G सेवा उपभोग गर्नका लागि तपाईं संग नेपाल टेलिकमको 4G सिमकार्ड, 4G सपोर्ट गर्ने मोवाईल सेटका साथै तपाईं 4G कभरेज एरियामा भएको हुनुपर्दछ। नेपाल टेलिकमबाट बिक्री बितरण गरिने सबै नयाँ सिमकार्डहरुले 4G सपोर्ट गर्ने भएकोले तपाईंसंग 4G मोवाईल सेट छ भने तपाईंले नेपाल टेलिकमको 4G कभरेज एरिया भित्र मज्जाले 4G सेवा प्रयोग गर्न सक्नुहुन्छ।"
"मेरो मोवाईल सेटले 4G सपोर्ट गर्दछ तर कुनै स्थानमा 4G चल्दछ भने कतै चल्दैन किन यस्तो हुन्छ?","नेपाल टेलिकमले जनघनत्व कम भएका ग्रामिण क्षेत्रमा टाढा सम्म कभरेज हुने गरी LTE Band 20 (800MHZ) मा 4G सेवा संचालन गरिरहेको छ भने जनघनत्व बढी भएका शहरी क्षेत्रहरुमा धेरै ग्राहकलाई एकसाथ सेवा प्रदान गर्न सकिने गरी LTE Band 3 (1800MHZ) मा 4G सेवा संचालन गरिरहेको छ। गाउँ शहर सबैतिर 4G सेवा उपयोग गर्न तपाईंको मोवाईल सेटले LTE Band 3 (1800MHZ) र LTE Band 20 (800MHZ) दुबै सपोर्ट गर्ने हुनु पर्दछ। तर नेपालमा हाल बिक्रि बितरण भैरहेका केही सेटहरुले LTE Band 3 (1800MHZ) सपोर्ट गर्ने तर LTE Band 20 (800MHZ) सपोर्ट नगर्ने भएका कारण यस्ता सेट भएका ग्राहकहरुले शहरी क्षेत्रमा 4G चलाउन सक्ने तर अन्यत्र चलाउन नसक्ने गुनासो प्राप्त भईरहेको छ। यसको समाधानको लागि मोवाईल सेट खरिद गर्दा नै उक्त सेटले 4G LTE Band 20 (800MHZ) र Band 3 (1800MHZ) दुबै सपोर्ट गर्ने यकिन गरेर मात्र खरिद गर्नुपर्ने हुन्छ।"
"मेरो गाउँमा कुनै ब्रान्डको मोवाईल सेटमा 4G चल्दछ अरु सेटमा चल्दैन। यस्तो किन हुन्छ?","नेपाल टेलिकमले जनघनत्व कम भएका ग्रामिण क्षेत्रमा टाढा सम्म कभरेज हुने गरी LTE Band 20 (800MHZ) मा 4G सेवा संचालन गरिरहेको छ। यस्तो क्षेत्रमा LTE Band 20 (800MHZ) सपोर्ट गर्ने सेटमा मात्र 4G सेवा चलाउन सकिन्छ भने अरु सेटमा 4G चल्दैन। तर 4G सेवा कुनै ब्रान्डको मोवाईल सेटमा मात्र चल्ने अरु ब्रान्डको सेटमा नचल्ने भने हुँदैन।"
"नयाँ खरिद गर्न लागेको मोवाईल सेटले कुन कुन ब्यान्डको 4G सपोर्ट गर्दछ वा गर्दैन भन्ने कसरी थाहा पाउन सकिन्छ?","खरिद गर्न लागेको मोवाईल सेटको स्पेशिफिकेशन चेक गरी उक्त सेटले 2G/3G/4G कुन नेटवर्कको कुन कुन फ्रिक्वेन्सी सपोर्ट गर्दछ वा गर्दैन भन्ने थाहा पाउन सकिन्छ।"
"मैले हाल प्रयोग गरिरहेको मोवाईल सेटले कुन कुन ब्यान्डको 4G सपोर्ट गर्दछ वा गर्दैन भन्ने कसरी थाहा पाउन सक्दछु?","मोवाईलको IMEI नम्बरको आधारमा उक्त सेटले 2G/3G/4G कुन नेटवर्कको कुन कुन फ्रिक्वेन्सी सपोर्ट गर्दछ वा गर्दैन भन्ने थाहा पाउन सकिन्छ। यसको लागि https://www.ntc.net.np/nt-4g-lte-bands मा गई आफ्नो मोवाईलको IMEI नम्बर राखी सर्च गरेर बिस्तृत बिबरण हेर्न सक्नुहुन्छ।"
"How do I use VoLTE?","To enjoy VoLTE services, you need to: Have a VoLTE enabled handset; Ensure that your handset has been upgraded with the latest software provided by your handset manufacturer; Ensure that you are using NT 4G SIM; Verify that the VoLTE voice calling feature has been enabled on your smartphone. For Android: Settings -> Mobile Networks -> Turn on VoLTE call. (These settings may differ from one handset model to another depending on the handset manufacturer.) For users with Dual SIM handsets, NT4G SIM should be inserted in the SIM slot with data capability and network mode as ""4G/3G/2G (Auto)""."
"Is VoLTE available in my Area?","VoLTE is available on all areas currently having 4G network coverage."
"How to activate LTE/VoLTE on my SIM and mobile device?","Dial *444#. Select Activate VoLTE (This will activate VoLTE in your SIM). Enable VoLTE setting in your mobile device (This will activate VoLTE in your mobile device). Note: Some new devices and software versions may not have a VoLTE setting. In such cases, VoLTE will be enabled by default."
"How will I know if I am on VoLTE service?","For Android users: The ""HD/VoLTE"" icon will be shown on the top bar of the screen. Also, you can dial *111# or Dial 1444 to verify if you are on VoLTE."
"How much does VoLTE cost?","There is no additional cost for VoLTE service. VoLTE is one more way in which NT is building a better network for its customers."
